"","gc_totals","new_totals"
"SRR17769907",86780517,10000506
"SRR17769908",95301791,10000717
"SRR17769909",69612602,9998906
"SRR17769910",94043007,10003319
"SRR17769911",78791365,9999300
"SRR17769912",88002364,10004041
"SRR17769913",78891232,9998893
"SRR17769914",112418985,9998942
"SRR17769915",86080068,9998452
"SRR17769916",89617741,10000048
"SRR17769917",77025454,10002626
"SRR17769928",75306686,9996562
"SRR17769929",87816372,10001948
"SRR17769930",71265305,10000830
"SRR17769931",80761708,10002885
"SRR17769932",73025784,9995529
"SRR17769933",80439819,9997927
"SRR17769934",62556057,9998139
"SRR17769937",81771967,10000274
"X91_23.X6103_230526",9606745,9606745
"X91_MS.23.06427_230526",10847031,10000002
