"","SYMBOL","X91_23.X6103_230526","Normalized_Per_Million","Normal_Mean","Normal_Median","Normal_SD","Z_score","Foldchange","Gene_State","Potential_FP_or_FN"
"ENSG00000000938","FGR",300.524,31.283,753.068,709.5714,246.31,-1.837,0.399,"LOW","0"
"ENSG00000004468","CD38",989.381,102.988,1054.138,974.2857,403.307,-0.161,0.939,"NORMAL","0"
"ENSG00000007312","CD79B",511.571,53.251,3204.248,3054.0476,1248.392,-2.157,0.16,"LOW","0"
"ENSG00000008018","PSMB1",978.238,101.828,1685.724,1612.1905,330.233,-2.142,0.58,"LOW","0"
"ENSG00000010671","BTK",2998.667,312.142,1771.564,1791.0952,441.772,2.778,1.693,"HIGH","0"
"ENSG00000010810","FYN",2003.333,208.534,2049.14,2041.2857,335.124,-0.137,0.978,"NORMAL","0"
"ENSG00000012048","BRCA1",154.476,16.08,346.997,283.5238,217.064,-0.887,0.445,"NORMAL","0"
"ENSG00000012124","CD22",2975.429,309.723,5515.123,5995.4286,1898.726,-1.338,0.54,"NORMAL","0"
"ENSG00000014257","ACPP",4.857,0.506,18.812,16.5238,10.289,-1.356,0.258,"LOW","0"
"ENSG00000015592","STMN4",3.143,0.327,0.486,0,0.805,3.301,6.467,"HIGH","+"
"ENSG00000017427","IGF1",323.857,33.711,32.346,30.5714,15.044,19.377,10.012,"HIGH","0"
"ENSG00000019991","HGF",16.762,1.745,52.371,51.7143,27.444,-1.298,0.32,"LOW","0"
"ENSG00000020922","MRE11",909.095,94.631,560.381,543.9524,140.666,2.479,1.622,"HIGH","0"
"ENSG00000026751","SLAMF7",192.476,20.036,1520.268,1530.3333,404.14,-3.285,0.127,"VERY LOW","0"
"ENSG00000037280","FLT4",99.429,10.35,298.459,224.9524,164.026,-1.213,0.333,"LOW","0"
"ENSG00000041880","PARP3",575.333,59.888,214.268,209.5238,38.275,9.433,2.685,"HIGH","0"
"ENSG00000047849","MAP4",933.857,97.208,1620.095,1570.7143,250.491,-2.74,0.576,"LOW","0"
"ENSG00000047936","ROS1",0,0,0,0,0,0,0,"NORMAL","-"
"ENSG00000048052","HDAC9",2012.905,209.53,526.599,482.9048,96.964,15.328,3.822,"VERY HIGH","0"
"ENSG00000048392","RRM2B",499.286,51.972,525.371,504.2381,168.342,-0.155,0.95,"NORMAL","0"
"ENSG00000048462","TNFRSF17",702.857,73.163,278.752,217.9524,178.303,2.379,2.521,"NORMAL","0"
"ENSG00000049130","KITLG",202.667,21.096,132.471,118.1905,51.489,1.363,1.53,"NORMAL","0"
"ENSG00000051180","RAD51",75.524,7.862,140.965,134.6667,97.858,-0.669,0.536,"NORMAL","0"
"ENSG00000061273","HDAC7",2939.619,305.995,1034.942,986.9048,265.47,7.175,2.84,"HIGH","0"
"ENSG00000064300","NGFR",43.905,4.57,162.055,128.8095,126.854,-0.931,0.271,"LOW","0"
"ENSG00000065361","ERBB3",2.429,0.253,9.915,8.0476,4.53,-1.653,0.245,"LOW","+"
"ENSG00000066468","FGFR2",50.238,5.229,50.81,47.7143,18.841,-0.03,0.989,"NORMAL","0"
"ENSG00000068024","HDAC4",145.095,15.103,234.709,237.4286,43.908,-2.041,0.618,"NORMAL","0"
"ENSG00000068078","FGFR3",10.048,1.046,16.368,13.9048,14.344,-0.441,0.614,"NORMAL","0"
"ENSG00000070501","POLB",499.286,51.972,253.702,243.381,47.21,5.202,1.968,"HIGH","0"
"ENSG00000070669","ASNS",9,0.937,553.426,560.6667,114.6,-4.751,0.016,"VERY LOW","0"
"ENSG00000073756","PTGS2",244.476,25.448,176.617,107.8095,223.55,0.304,1.384,"NORMAL","0"
"ENSG00000074935","TUBE1",220.857,22.99,158.972,165,29.956,2.066,1.389,"HIGH","0"
"ENSG00000074966","TXK",66.762,6.949,347.779,319.4762,146.377,-1.92,0.192,"LOW","0"
"ENSG00000076242","MLH1",466.619,48.572,640.561,634.9524,116.419,-1.494,0.728,"NORMAL","0"
"ENSG00000077092","RARB",41.619,4.332,70.424,63.2857,18.094,-1.592,0.591,"LOW","0"
"ENSG00000077097","TOP2B",1667.905,173.618,2622.734,2671.5238,426.129,-2.241,0.636,"LOW","0"
"ENSG00000077782","FGFR1",1247.667,129.874,682.799,559.8571,333.782,1.692,1.827,"HIGH","0"
"ENSG00000078018","MAP2",67.714,7.049,73.396,73.7143,21.966,-0.259,0.923,"NORMAL","0"
"ENSG00000081051","AFP",0,0,0.053,0,0.229,-0.231,0,"NORMAL","-"
"ENSG00000082175","PGR",8.048,0.838,12.195,9,10.388,-0.399,0.66,"NORMAL","-"
"ENSG00000082898","XPO1",672.667,70.02,2213.91,2316.9048,362.972,-4.246,0.304,"VERY LOW","0"
"ENSG00000088305","DNMT3B",16.524,1.72,27.875,29.6667,11.102,-1.022,0.593,"NORMAL","0"
"ENSG00000089250","NOS1",4.571,0.476,15.048,15.4762,11.653,-0.899,0.304,"NORMAL","0"
"ENSG00000089692","LAG3",11.19,1.165,134.431,129.5714,96.629,-1.275,0.083,"LOW","0"
"ENSG00000091831","ESR1",26.524,2.761,75.158,76.5714,18.978,-2.563,0.353,"LOW","0"
"ENSG00000094631","HDAC6",521.095,54.243,614.514,618.6667,94.962,-0.984,0.848,"NORMAL","0"
"ENSG00000095002","MSH2",1054.667,109.784,588.957,616.0476,189.239,2.461,1.791,"HIGH","0"
"ENSG00000096968","JAK2",963.381,100.282,672.218,709.5714,111.899,2.602,1.433,"HIGH","0"
"ENSG00000097007","ABL1",1170.19,121.809,534.343,527.0952,122.343,5.197,2.19,"HIGH","0"
"ENSG00000100030","MAPK1",1370.952,142.707,1651.759,1689.1429,208.957,-1.344,0.83,"NORMAL","0"
"ENSG00000100311","PDGFB",228.619,23.798,94.211,77.8571,50.198,2.678,2.427,"HIGH","0"
"ENSG00000100316","RPL3",1197.429,124.645,36125.612,35326.2381,4343.848,-8.041,0.033,"VERY LOW","0"
"ENSG00000100429","HDAC10",80.238,8.352,4.138,3.619,3.27,23.272,19.391,"HIGH","0"
"ENSG00000100479","POLE2",57.333,5.968,59.657,43.9048,39.923,-0.058,0.961,"NORMAL","0"
"ENSG00000100804","PSMB5",494.476,51.472,472.093,444.1905,77.097,0.29,1.047,"NORMAL","0"
"ENSG00000101162","TUBB1",2.429,0.253,1.035,0.0952,1.35,1.033,2.347,"NORMAL","-"
"ENSG00000101213","PTK6",13.286,1.383,9.86,9,4.548,0.753,1.347,"NORMAL","0"
"ENSG00000101336","HCK",499.286,51.972,731.799,725.1905,135.034,-1.722,0.682,"LOW","0"
"ENSG00000101868","POLA1",367.81,38.287,384.451,399.1429,132.545,-0.126,0.957,"NORMAL","0"
"ENSG00000101916","TLR8",36.143,3.762,147.115,131.3333,63.499,-1.748,0.246,"LOW","0"
"ENSG00000102010","BMX",8.667,0.902,54.719,49.7143,29.742,-1.548,0.158,"LOW","0"
"ENSG00000102755","FLT1",214.952,22.375,350.576,273.5238,204.977,-0.662,0.613,"NORMAL","0"
"ENSG00000104320","NBN",920.81,95.85,787.273,756.0476,156.572,0.853,1.17,"NORMAL","0"
"ENSG00000104687","GSR",968,100.763,563.253,568.5714,99.784,4.056,1.719,"HIGH","0"
"ENSG00000105383","CD33",20.476,2.131,162.772,169.4286,69.235,-2.055,0.126,"LOW","0"
"ENSG00000105397","TYK2",880.619,91.667,1225.323,1221.8571,280.54,-1.229,0.719,"NORMAL","0"
"ENSG00000105486","LIG1",1020.714,106.25,568.02,524.9048,179.923,2.516,1.797,"HIGH","0"
"ENSG00000105639","JAK3",1781.619,185.455,2217.91,2257,430.448,-1.014,0.803,"NORMAL","0"
"ENSG00000105810","CDK6",441.333,45.94,480.87,505.7619,129.142,-0.306,0.918,"NORMAL","0"
"ENSG00000105976","MET",89.048,9.269,173.04,162.619,66.964,-1.254,0.515,"LOW","0"
"ENSG00000106462","EZH2",560.667,58.362,493.927,418.4762,264.076,0.253,1.135,"NORMAL","0"
"ENSG00000106546","AHR",1270.619,132.263,723.003,704.5714,187.3,2.924,1.757,"HIGH","0"
"ENSG00000108384","RAD51C",232.381,24.189,230.321,233.5238,54.475,0.038,1.009,"NORMAL","0"
"ENSG00000108423","TUBD1",161.524,16.814,127.521,128.2857,22.683,1.499,1.267,"HIGH","0"
"ENSG00000108799","EZH1",791.952,82.437,1186.541,1137.619,242.771,-1.625,0.667,"LOW","0"
"ENSG00000108840","HDAC5",166.524,17.334,488.308,450.2857,165.102,-1.949,0.341,"LOW","0"
"ENSG00000109163","GNRHR",0,0,0,0,0,0,0,"NORMAL","-"
"ENSG00000109471","IL2",13.286,1.383,7.406,6.6667,7.378,0.797,1.794,"NORMAL","0"
"ENSG00000110195","FOLR1",0,0,0.153,0,0.482,-0.317,0,"NORMAL","-"
"ENSG00000111252","SH2B3",478.143,49.772,1212.747,1087,337.584,-2.176,0.394,"LOW","0"
