"","SYMBOL","X91_MS.23.06427_230526","Normalized_Per_Million","Normal_Mean","Normal_Median","Normal_SD","Z_score","Foldchange","Gene_State","Potential_FP_or_FN"
"ENSG00000000938","FGR",163.381,16.338,753.068,709.5714,246.31,-2.394,0.217,"LOW","0"
"ENSG00000004468","CD38",1297,129.7,1054.138,974.2857,403.307,0.602,1.23,"NORMAL","0"
"ENSG00000007312","CD79B",1323.619,132.362,3204.248,3054.0476,1248.392,-1.506,0.413,"LOW","0"
"ENSG00000008018","PSMB1",1826.619,182.662,1685.724,1612.1905,330.233,0.427,1.084,"NORMAL","0"
"ENSG00000010671","BTK",4908.286,490.829,1771.564,1791.0952,441.772,7.1,2.771,"HIGH","0"
"ENSG00000010810","FYN",803.048,80.305,2049.14,2041.2857,335.124,-3.718,0.392,"LOW","0"
"ENSG00000012048","BRCA1",295.857,29.586,346.997,283.5238,217.064,-0.236,0.853,"NORMAL","0"
"ENSG00000012124","CD22",4125.905,412.59,5515.123,5995.4286,1898.726,-0.732,0.748,"NORMAL","0"
"ENSG00000014257","ACPP",3.619,0.362,18.812,16.5238,10.289,-1.477,0.192,"LOW","0"
"ENSG00000015592","STMN4",1.905,0.19,0.486,0,0.805,1.763,3.92,"NORMAL","-"
"ENSG00000017427","IGF1",315.238,31.524,32.346,30.5714,15.044,18.804,9.746,"HIGH","0"
"ENSG00000019991","HGF",31.476,3.148,52.371,51.7143,27.444,-0.761,0.601,"NORMAL","0"
"ENSG00000020922","MRE11",693.81,69.381,560.381,543.9524,140.666,0.949,1.238,"NORMAL","0"
"ENSG00000026751","SLAMF7",175.048,17.505,1520.268,1530.3333,404.14,-3.329,0.115,"VERY LOW","0"
"ENSG00000037280","FLT4",56,5.6,298.459,224.9524,164.026,-1.478,0.188,"LOW","0"
"ENSG00000041880","PARP3",627.381,62.738,214.268,209.5238,38.275,10.793,2.928,"VERY HIGH","0"
"ENSG00000047849","MAP4",1123,112.3,1620.095,1570.7143,250.491,-1.984,0.693,"LOW","0"
"ENSG00000047936","ROS1",0,0,0,0,0,0,0,"NORMAL","-"
"ENSG00000048052","HDAC9",1378.143,137.814,526.599,482.9048,96.964,8.782,2.617,"HIGH","0"
"ENSG00000048392","RRM2B",566.714,56.671,525.371,504.2381,168.342,0.246,1.079,"NORMAL","0"
"ENSG00000048462","TNFRSF17",605.143,60.514,278.752,217.9524,178.303,1.831,2.171,"NORMAL","0"
"ENSG00000049130","KITLG",187.476,18.748,132.471,118.1905,51.489,1.068,1.415,"NORMAL","0"
"ENSG00000051180","RAD51",137.333,13.733,140.965,134.6667,97.858,-0.037,0.974,"NORMAL","0"
"ENSG00000061273","HDAC7",4635.714,463.571,1034.942,986.9048,265.47,13.564,4.479,"HIGH","0"
"ENSG00000064300","NGFR",23.048,2.305,162.055,128.8095,126.854,-1.096,0.142,"LOW","0"
"ENSG00000065361","ERBB3",0,0,9.915,8.0476,4.53,-2.189,0,"VERY LOW","+"
"ENSG00000066468","FGFR2",47,4.7,50.81,47.7143,18.841,-0.202,0.925,"NORMAL","0"
"ENSG00000068024","HDAC4",99.429,9.943,234.709,237.4286,43.908,-3.081,0.424,"LOW","0"
"ENSG00000068078","FGFR3",6.667,0.667,16.368,13.9048,14.344,-0.676,0.407,"NORMAL","0"
"ENSG00000070501","POLB",239.333,23.933,253.702,243.381,47.21,-0.304,0.943,"NORMAL","0"
"ENSG00000070669","ASNS",57.333,5.733,553.426,560.6667,114.6,-4.329,0.104,"VERY LOW","0"
"ENSG00000073756","PTGS2",271.381,27.138,176.617,107.8095,223.55,0.424,1.537,"NORMAL","0"
"ENSG00000074935","TUBE1",126.857,12.686,158.972,165,29.956,-1.072,0.798,"NORMAL","0"
"ENSG00000074966","TXK",21.714,2.171,347.779,319.4762,146.377,-2.228,0.062,"LOW","0"
"ENSG00000076242","MLH1",622.571,62.257,640.561,634.9524,116.419,-0.155,0.972,"NORMAL","0"
"ENSG00000077092","RARB",18.286,1.829,70.424,63.2857,18.094,-2.882,0.26,"LOW","0"
"ENSG00000077097","TOP2B",1422.952,142.295,2622.734,2671.5238,426.129,-2.816,0.543,"VERY LOW","0"
"ENSG00000077782","FGFR1",1083.571,108.357,682.799,559.8571,333.782,1.201,1.587,"NORMAL","0"
"ENSG00000078018","MAP2",35.19,3.519,73.396,73.7143,21.966,-1.739,0.479,"LOW","0"
"ENSG00000081051","AFP",0,0,0.053,0,0.229,-0.231,0,"NORMAL","-"
"ENSG00000082175","PGR",10.048,1.005,12.195,9,10.388,-0.207,0.824,"NORMAL","0"
"ENSG00000082898","XPO1",613.381,61.338,2213.91,2316.9048,362.972,-4.41,0.277,"VERY LOW","0"
"ENSG00000088305","DNMT3B",4.857,0.486,27.875,29.6667,11.102,-2.073,0.174,"LOW","0"
"ENSG00000089250","NOS1",1.905,0.19,15.048,15.4762,11.653,-1.128,0.127,"NORMAL","0"
"ENSG00000089692","LAG3",13.905,1.39,134.431,129.5714,96.629,-1.247,0.103,"LOW","0"
"ENSG00000091831","ESR1",38.333,3.833,75.158,76.5714,18.978,-1.94,0.51,"LOW","0"
"ENSG00000094631","HDAC6",622.571,62.257,614.514,618.6667,94.962,0.085,1.013,"NORMAL","0"
"ENSG00000095002","MSH2",658.333,65.833,588.957,616.0476,189.239,0.367,1.118,"NORMAL","0"
"ENSG00000096968","JAK2",823.857,82.386,672.218,709.5714,111.899,1.355,1.226,"NORMAL","0"
"ENSG00000097007","ABL1",885.667,88.567,534.343,527.0952,122.343,2.872,1.657,"HIGH","0"
"ENSG00000100030","MAPK1",2072.714,207.271,1651.759,1689.1429,208.957,2.015,1.255,"HIGH","0"
"ENSG00000100311","PDGFB",113.19,11.319,94.211,77.8571,50.198,0.378,1.201,"NORMAL","0"
"ENSG00000100316","RPL3",4473.048,447.305,36125.612,35326.2381,4343.848,-7.287,0.124,"VERY LOW","0"
"ENSG00000100429","HDAC10",150.143,15.014,4.138,3.619,3.27,44.65,36.284,"HIGH","0"
"ENSG00000100479","POLE2",38.333,3.833,59.657,43.9048,39.923,-0.534,0.643,"NORMAL","0"
"ENSG00000100804","PSMB5",484.952,48.495,472.093,444.1905,77.097,0.167,1.027,"NORMAL","0"
"ENSG00000101162","TUBB1",3.619,0.362,1.035,0.0952,1.35,1.914,3.497,"NORMAL","-"
"ENSG00000101213","PTK6",15.095,1.509,9.86,9,4.548,1.151,1.531,"NORMAL","0"
"ENSG00000101336","HCK",239.333,23.933,731.799,725.1905,135.034,-3.647,0.327,"LOW","0"
"ENSG00000101868","POLA1",372.048,37.205,384.451,399.1429,132.545,-0.094,0.968,"NORMAL","0"
"ENSG00000101916","TLR8",78.381,7.838,147.115,131.3333,63.499,-1.082,0.533,"LOW","0"
"ENSG00000102010","BMX",10.048,1.005,54.719,49.7143,29.742,-1.502,0.184,"LOW","0"
"ENSG00000102755","FLT1",177.524,17.752,350.576,273.5238,204.977,-0.844,0.506,"NORMAL","0"
"ENSG00000104320","NBN",637.857,63.786,787.273,756.0476,156.572,-0.954,0.81,"NORMAL","0"
"ENSG00000104687","GSR",782.429,78.243,563.253,568.5714,99.784,2.197,1.389,"HIGH","0"
"ENSG00000105383","CD33",34.238,3.424,162.772,169.4286,69.235,-1.856,0.21,"LOW","0"
"ENSG00000105397","TYK2",481,48.1,1225.323,1221.8571,280.54,-2.653,0.393,"LOW","0"
"ENSG00000105486","LIG1",1403.952,140.395,568.02,524.9048,179.923,4.646,2.472,"HIGH","0"
"ENSG00000105639","JAK3",920.143,92.014,2217.91,2257,430.448,-3.015,0.415,"LOW","0"
"ENSG00000105810","CDK6",605.762,60.576,480.87,505.7619,129.142,0.967,1.26,"NORMAL","0"
"ENSG00000105976","MET",56,5.6,173.04,162.619,66.964,-1.748,0.324,"LOW","0"
"ENSG00000106462","EZH2",574.048,57.405,493.927,418.4762,264.076,0.303,1.162,"NORMAL","0"
"ENSG00000106546","AHR",537.381,53.738,723.003,704.5714,187.3,-0.991,0.743,"NORMAL","0"
"ENSG00000108384","RAD51C",310.333,31.033,230.321,233.5238,54.475,1.469,1.347,"NORMAL","0"
"ENSG00000108423","TUBD1",154.476,15.448,127.521,128.2857,22.683,1.188,1.211,"NORMAL","0"
"ENSG00000108799","EZH1",553.81,55.381,1186.541,1137.619,242.771,-2.606,0.467,"LOW","0"
"ENSG00000108840","HDAC5",95.143,9.514,488.308,450.2857,165.102,-2.381,0.195,"LOW","0"
"ENSG00000109163","GNRHR",0,0,0,0,0,0,0,"NORMAL","-"
"ENSG00000109471","IL2",6.667,0.667,7.406,6.6667,7.378,-0.1,0.9,"NORMAL","-"
"ENSG00000110195","FOLR1",0,0,0.153,0,0.482,-0.317,0,"NORMAL","-"
"ENSG00000111252","SH2B3",457.952,45.795,1212.747,1087,337.584,-2.236,0.378,"LOW","0"
"ENSG00000111816","FRK",257.571,25.757,19.697,17.4286,8.08,29.44,13.077,"HIGH","0"
"ENSG00000112651","MRPL2",148.667,14.867,188.421,180.7143,49.705,-0.8,0.789,"NORMAL","0"
"ENSG00000112715","VEGFA",246.476,24.648,299.358,229.5714,262.483,-0.201,0.823,"NORMAL","0"
"ENSG00000113263","ITK",236.476,23.648,1757.802,1802.4286,475.588,-3.199,0.135,"VERY LOW","0"
"ENSG00000113522","RAD50",207.857,20.786,672.073,672.6667,113.857,-4.077,0.309,"LOW","0"
"ENSG00000113578","FGF1",5.524,0.552,13.88,13.2857,10.529,-0.794,0.398,"NORMAL","0"
"ENSG00000113580","NR3C1",2386.048,238.605,1375.935,1459.0952,235.793,4.284,1.734,"HIGH","0"
"ENSG00000113721","PDGFRB",396.286,39.629,934.268,738.619,539.164,-0.998,0.424,"LOW","0"
"ENSG00000113851","CRBN",631.19,63.119,496.845,493.7619,84.943,1.582,1.27,"NORMAL","0"
"ENSG00000115350","POLE4",198.238,19.824,314.464,311.619,70.395,-1.651,0.63,"NORMAL","0"
"ENSG00000116062","MSH6",1217.619,121.762,983.178,998.4762,322.221,0.728,1.238,"NORMAL","0"
"ENSG00000116478","HDAC1",1720.667,172.067,2401.424,2535.4286,447.082,-1.523,0.717,"NORMAL","0"
"ENSG00000118046","STK11",322.429,32.243,295.729,287,64.34,0.415,1.09,"NORMAL","0"
"ENSG00000119630","PGF",7.429,0.743,66.531,53.0476,41.701,-1.417,0.112,"LOW","0"
"ENSG00000119772","DNMT3A",176.81,17.681,662.802,659.0952,174.017,-2.793,0.267,"LOW","0"
"ENSG00000119888","EPCAM",2.429,0.243,2.108,1.9048,2.368,0.136,1.152,"NORMAL","-"
"ENSG00000120156","TEK",41.619,4.162,242.91,203.5238,112.815,-1.784,0.171,"LOW","0"
"ENSG00000120217","CD274",100.714,10.071,268.115,268.2381,91.749,-1.825,0.376,"LOW","0"
"ENSG00000120659","TNFSF11",254.476,25.448,346.281,356.381,196.09,-0.468,0.735,"NORMAL","0"
"ENSG00000120949","TNFRSF8",72.81,7.281,62.025,51,43.785,0.246,1.174,"NORMAL","0"
"ENSG00000121879","PIK3CA",696.524,69.652,513.957,524.381,91.327,1.999,1.355,"HIGH","0"
"ENSG00000122025","FLT3",9,0.9,256.81,253.4286,89.253,-2.776,0.035,"VERY LOW","0"
"ENSG00000122512","PMS2",34.238,3.424,217.897,229.5714,53.105,-3.458,0.157,"VERY LOW","0"
"ENSG00000126067","PSMB2",848.762,84.876,1087.208,1048.7143,308.513,-0.773,0.781,"NORMAL","0"
"ENSG00000126934","MAP2K2",1001.619,100.162,490.596,457.1905,131.083,3.898,2.042,"HIGH","0"
"ENSG00000127824","TUBA4A",1287.095,128.709,1307.962,1336.7619,266.921,-0.078,0.984,"NORMAL","0"
"ENSG00000127922","SEM1",1869.524,186.952,761.805,702.1429,196.567,5.635,2.454,"HIGH","0"
"ENSG00000128052","KDR",56,5.6,653.519,527.5714,361.408,-1.653,0.086,"LOW","0"
"ENSG00000128059","PPAT",184.762,18.476,206.233,212.0476,61.422,-0.35,0.896,"NORMAL","0"
"ENSG00000128602","SMO",47.714,4.771,66.273,62.6667,17.63,-1.053,0.72,"NORMAL","0"
"ENSG00000129484","PARP2",179.952,17.995,229.689,226.7619,46.956,-1.059,0.783,"LOW","0"
"ENSG00000130164","LDLR",233,23.3,338.664,201.6667,498.748,-0.212,0.688,"NORMAL","0"
"ENSG00000130816","DNMT1",1908.952,190.895,1844.544,1555.619,713.621,0.09,1.035,"NORMAL","0"
"ENSG00000131462","TUBG1",190.857,19.086,174.647,156,72.602,0.223,1.093,"NORMAL","0"
"ENSG00000131747","TOP2A",1809.143,180.914,1876.451,1758.0476,1296.615,-0.052,0.964,"NORMAL","0"
"ENSG00000131759","RARA",91.048,9.105,196.96,168.0952,140.545,-0.754,0.462,"LOW","0"
"ENSG00000132155","RAF1",844.762,84.476,1258.872,1302.5238,106.912,-3.873,0.671,"LOW","0"
"ENSG00000132671","SSTR4",0,0,0.544,0,1.037,-0.525,0,"NORMAL","-"
"ENSG00000133703","KRAS",1030.095,103.009,461.774,460.5714,75.095,7.568,2.231,"VERY HIGH","0"
"ENSG00000134853","PDGFRA",116.857,11.686,216.125,183.9524,134.193,-0.74,0.541,"NORMAL","0"
"ENSG00000135446","CDK4",672.667,67.267,555.464,523.0476,113.617,1.032,1.211,"NORMAL","0"
"ENSG00000135454","B4GALNT1",23.048,2.305,13.607,12.4762,5.93,1.592,1.694,"HIGH","0"
"ENSG00000135605","TEC",0,0,118.058,115.5714,40.283,-2.931,0,"VERY LOW","0"
"ENSG00000136492","BRIP1",181.571,18.157,110.692,103.9048,68.906,1.029,1.64,"NORMAL","0"
"ENSG00000136573","BLK",225.905,22.59,891.07,843.5238,226.345,-2.939,0.254,"LOW","0"
"ENSG00000136869","TLR4",440.857,44.086,661.288,641.4762,258.454,-0.853,0.667,"NORMAL","0"
"ENSG00000136877","FPGS",554.857,55.486,478.256,472.5714,86.484,0.886,1.16,"NORMAL","0"
"ENSG00000137869","CYP19A1",0,0,2.048,1.9048,2.347,-0.873,0,"NORMAL","-"
"ENSG00000138039","LHCGR",0,0,0.281,0,0.708,-0.397,0,"NORMAL","-"
"ENSG00000138363","ATIC",462.524,46.252,990.484,989.381,240.874,-2.192,0.467,"LOW","0"
"ENSG00000138376","BARD1",449.286,44.929,188.614,185.5238,78.342,3.327,2.382,"HIGH","0"
"ENSG00000138413","IDH1",304.619,30.462,611.845,562.2857,195.781,-1.569,0.498,"LOW","0"
"ENSG00000139618","BRCA2",150.857,15.086,203.356,174.2381,83.032,-0.632,0.742,"NORMAL","0"
"ENSG00000139874","SSTR1",0.095,0.009,2.145,1.9048,2.495,-0.822,0.044,"NORMAL","-"
"ENSG00000140009","ESR2",383.619,38.362,40.995,37.6667,14.574,23.509,9.358,"VERY HIGH","0"
"ENSG00000140464","PML",394.048,39.405,574.326,534.1429,123.486,-1.46,0.686,"LOW","0"
